syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority7,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_ratio7,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_weight7,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_open6,syl_open7,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,syl_phoncat6,syl_phoncat7,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,onset_phoncat6,onset_phoncat7,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,koda_phoncat6,koda_phoncat7,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,nucleus_phoncat6,nucleus_phoncat7,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,syl_len7,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,koda_len7,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,onset_len7,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,nucleus_len7,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,syl_cv6,syl_cv7,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,cv_ratio7,pos,comp_struct,nomen,comp_len,Word,stress_class
ø,ø,n,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,M,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,9,7,12,6,12,7,9,9,4,3,6,6,6,3,4,4,0,light,light,light,light,light,light,light,light,c,o,o,c,o,c,o,c,ø,ø,ø,ø,ø,ø,ø,ø,C,C,C,?,C,C,A,?,?,?,?,?,?,?,?,C,K,L,L,K,L,K,L,L,2,2,2,1,2,2,2,2,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,2,2,1,2,1,2,2,ø,ø,ø,ø,ø,ø,CVV,VVC,2,0,0,1,0,2,0,0,N,ø,T,1,Materialisation,ultima
ø,ø,n,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,U,ø,ø,ø,ø,K,ø,ø,ø,ø,ø,11,7,14,12,10,10,9,9,5,3,2,4,5,5,4,4,-1,light,schwa,heavy,light,light,light,light,light,c,o,c,c,o,c,o,c,ø,ø,ø,ø,ø,ø,ø,ø,?,C,CC,C,C,C,A,?,C,?,CC,A,?,?,?,C,K,K,K,D,L,K,L,L,2,2,6,5,2,2,2,2,1,0,2,1,0,1,0,1,0,1,2,1,1,1,1,0,1,1,1,2,2,1,2,2,ø,ø,ø,ø,ø,ø,CVV,VVC,1,1,4,1,0,2,0,0,N,ø,T,2,Unbestimmtheitsrelation,prima
ø,ø,n,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ent,e,ø,ø,ø,ø,K,ø,ø,ø,ø,noacc,10,8,7,6,10,9,9,13,3,8,3,6,5,4,4,4,0,heavy,light,light,light,light,light,light,schwa,c,o,o,o,o,o,o,c,ø,ø,ø,ø,ø,ø,ø,ø,?,?,C,?,C,C,C,C,CC,?,?,?,?,?,?,C,K,L,L,L,L,L,L,K,3,1,2,1,2,2,3,3,2,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,2,2,2,2,2,2,1,ø,ø,ø,ø,ø,ø,CVV,CVC,2,0,0,0,0,0,0,2,V,ø,F,1,entideologisieren,paenultima
ø,heit,t,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,Z,ø,ø,ø,ø,A,ø,ø,ø,ø,ø,9,9,12,7,9,10,15,12,4,4,6,3,4,3,3,4,0,light,light,light,light,light,heavy,heavy,light,o,o,o,c,o,c,c,c,ø,ø,ø,ø,ø,ø,ø,ø,A,C,C,C,A,?,CC,C,?,?,?,?,?,CC,CC,C,L,L,L,K,L,L,K,D,2,2,2,2,2,3,5,4,0,0,0,1,0,2,2,1,1,1,1,1,1,0,2,1,2,2,2,1,2,2,1,2,ø,ø,ø,ø,ø,ø,ø,CVVC,0,0,0,2,0,1,4,1,N,ø,T,2,Zivilisationskrankheit,antepaenultima
ø,ø,n,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,S,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,7,12,9,7,13,7,9,9,3,6,4,3,4,3,4,4,0,light,light,schwa,light,light,light,light,light,o,o,c,c,o,c,o,c,ø,ø,ø,ø,ø,ø,ø,ø,C,C,?,C,CC,C,A,?,?,?,C,?,?,?,?,C,L,L,K,K,L,K,L,L,2,2,2,2,3,2,2,2,0,0,1,1,0,1,0,1,1,1,0,1,2,1,1,0,2,2,1,1,2,1,2,2,ø,ø,ø,ø,ø,ø,CVV,VVC,0,0,1,2,1,2,0,0,N,ø,T,2,Serienfabrikation,prima
ø,ø,g,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,I,ø,ø,ø,ø,K,ø,ø,ø,ø,ø,11,9,9,9,6,12,9,15,5,4,4,4,6,6,4,5,0,light,light,light,light,light,light,light,light,c,o,o,o,c,o,o,c,ø,ø,ø,ø,ø,ø,ø,ø,?,C,C,C,?,C,C,C,C,?,?,?,?,?,?,C,K,L,L,L,K,L,L,K,2,2,2,2,1,2,3,4,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,2,2,2,1,2,2,1,ø,ø,ø,ø,ø,ø,CVV,CVC,1,0,0,0,1,0,0,2,N,ø,T,1,Individualisierung,paenultima
ø,ø,s,ø,ø,ø,ø,C,ø,ø,ø,ø,noacc,ø,ø,N,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,9,6,7,10,11,10,13,12,4,6,3,5,5,10,4,4,0,light,light,light,light,light,light,light,light,o,o,o,o,o,o,c,c,ø,ø,ø,ø,ø,ø,ø,ø,C,?,C,C,C,?,C,C,?,?,?,?,?,?,C,C,L,L,L,L,L,L,K,K,2,1,2,2,2,1,3,3,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,2,2,2,2,2,2,1,1,ø,ø,ø,ø,ø,ø,CVC,CVC,0,0,0,0,0,0,2,2,N,ø,T,1,Neokolonialismus,paenultima
ø,ø,e,ø,ø,ø,ø,K,ø,ø,ø,ø,ø,ø,ø,Q,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,8,12,9,7,9,10,10,7,2,6,4,3,4,3,3,3,-1,light,light,light,light,light,heavy,light,schwa,c,o,o,c,o,c,o,o,ø,ø,ø,ø,ø,ø,ø,ø,CC,C,C,C,A,?,CC,C,?,?,?,?,?,CC,?,?,K,L,L,K,L,L,L,K,3,2,2,2,2,3,3,2,1,0,0,1,0,2,0,0,2,1,1,1,1,0,2,1,1,2,2,1,2,2,2,1,ø,ø,ø,ø,ø,ø,ø,ø,3,0,0,2,0,1,1,1,N,ø,T,2,Qualifikationsstufe,antepaenultima
ø,ø,g,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,a,ø,ø,ø,ø,K,ø,ø,ø,ø,ø,10,9,9,10,9,10,7,9,5,4,4,5,4,3,3,4,-1,light,light,light,light,light,heavy,light,light,c,o,o,c,o,c,o,c,ø,ø,ø,ø,ø,ø,ø,ø,?,C,C,C,A,?,C,?,C,?,?,?,?,CC,?,C,K,L,L,K,L,L,L,K,2,2,2,2,2,3,2,3,1,0,0,1,0,2,0,1,0,1,1,1,1,0,1,0,1,2,2,1,2,2,2,1,ø,ø,ø,ø,ø,ø,CVV,ø,1,0,0,2,0,1,0,1,A,ø,F,2,artikulationsfaehig,antepaenultima
ø,ø,n,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,N,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,9,10,11,10,7,12,9,9,4,3,3,5,3,6,4,4,-1,light,light,schwa,light,light,light,light,light,o,c,c,o,o,o,o,c,ø,ø,ø,ø,ø,ø,ø,ø,C,C,C,C,C,C,A,?,?,C,C,?,?,?,?,C,L,K,K,L,L,L,L,L,2,3,3,2,2,2,2,2,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2,1,1,2,2,2,2,2,ø,ø,ø,ø,ø,ø,CVV,VVC,0,2,2,0,0,0,0,0,N,ø,T,2,Novemberrevolution,sekunda
